Pathway	ERR1960500	ERR1960501	ERR1960503	ERR1960504	ERR1960505	ERR1960506	ERR1960507	ERR1960508	ERR1960509	ERR1960510	ERR1960511	ERR1960512	ERR1960513	ERR1960515	ERR3078909	ERR3078910	ERR3078911	ERR3078912	ERR3078913	ERR3890090	ERR3890091	ERR3890092	ERR3890093	ERR3890094	ERR3890095	ERR3890096	ERR3890097	ERR3890098	ERR3890099	ERR3890100	ERR3890102	ERR3890103	ERR3890104	ERR3890105	ERR3890106	ERR3890107	ERR3890108	ERR3890109	ERR3890110	ERR3890111	ERR3890112	SRR12277191	SRR12277192	SRR12277193	SRR12277194	SRR12277195	SRR12277196	SRR12277197	SRR12277198	SRR12277199	SRR12277200	SRR12277201	SRR12277202	SRR13106729	SRR13106730	SRR13106731	SRR13106732	SRR13106733	SRR13106734	SRR13106735	SRR13106736	SRR13106737	SRR13106738	SRR13106739	SRR13106740
UNINTEGRATED|g__Mucilaginibacter.s__Mucilaginibacter_gotjawali	0	7.98E-05	0	0	0	8.23E-05	0	0	0	0	0	0	0.000979582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Nostoc.s__Nostoc_commune	0	0	0	0	0	0	0	0	0	0	0.000201875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Nostoc.s__Nostoc_flagelliforme	0	0	0	0	0	0	0	0	0	0	0.000261069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Paludisphaera.s__Paludisphaera_borealis	0	0	0	0	0	0	0	0	0	0	0	0	9.24E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Patulibacter.s__Patulibacter_medicamentivorans	0	0	0	0	0	0	0	0	0	0	0	0	4.13E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Pseudomonas.s__Pseudomonas_aeruginosa_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Pseudomonas.s__Pseudomonas_fluorescens_group	0	0	0	0.00100023	0	0	0	0	0	0	0	0	0.000836195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Pseudomonas.s__Pseudomonas_graminis	0	0	0	0	0	0	0	0	0	0	0	0	6.20E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Staphylococcus.s__Staphylococcus_aureus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0403807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Thiodictyon.s__Candidatus_Thiodictyon_syntrophicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000469881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|unclassified	0.0212531	0.109836	0.125556	0.164994	0.187316	0.0974888	0.040524	0.151672	0.0944049	0.178805	0.0825692	0.182371	0.130577	0.151537	0.123283	0.159354	0.145603	0.158213	0.162471	0.0767799	0.103217	0.0684544	0.0551461	0.0504685	0.051264	0.0367862	0.0668923	0.0702915	0.0585765	0.0845132	0.0576985	0.0799788	0.129811	0.126748	0.0887358	0.0701957	0.0631258	0.091034	0.0628208	0.472119	0	0.228552	0.147781	0.161137	0.150205	0.161379	0.148381	0.153081	0.185595	0.228884	0.226277	0.126569	0.126548	0	0	0.186992	0.186125	0.181593	0.185346	0.122924	0.129129	0.115035	0.0450405	0.128849	0.137784
"12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation"	0	1.37E-06	1.35E-06	1.54E-06	8.84E-07	6.35E-07	0	0	0	1.07E-06	1.85E-06	0	1.32E-06	3.80E-07	1.35E-06	0	0	0	8.36E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88E-06	7.26E-07	0	7.00E-07	0	0	9.24E-07	0	8.23E-07	0	0	0	0	0	0	6.91E-07	7.24E-07	0	0	4.26E-07	5.99E-07
"12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation|unclassified"	0	1.37E-06	1.35E-06	1.54E-06	8.84E-07	6.35E-07	0	0	0	1.07E-06	1.85E-06	0	1.32E-06	3.80E-07	1.35E-06	0	0	0	8.36E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.87E-06	7.26E-07	0	7.00E-07	0	0	9.24E-07	0	6.53E-07	0	0	0	0	0	0	6.91E-07	7.24E-07	0	0	4.26E-07	5.99E-07
"14DICHLORBENZDEG-PWY: 1,4-dichlorobenzene degradation"	0	0	0	0	2.79E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.75E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"14DICHLORBENZDEG-PWY: 1,4-dichlorobenzene degradation|unclassified"	0	0	0	0	2.79E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.75E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)	0	6.19E-06	4.16E-05	6.92E-05	6.60E-05	1.43E-05	0	5.16E-05	8.68E-06	9.69E-05	3.69E-05	6.80E-05	4.85E-05	4.29E-05	4.15E-05	3.61E-05	3.83E-05	4.17E-05	4.59E-05	1.27E-05	1.22E-05	7.93E-06	3.23E-05	2.19E-05	1.50E-05	1.33E-05	1.58E-05	0	8.61E-06	2.16E-05	7.71E-06	2.37E-05	3.20E-05	1.95E-05	2.15E-05	1.29E-05	1.44E-05	3.55E-05	2.46E-05	0.000290924	0	0.000107092	2.41E-05	3.85E-05	3.13E-05	4.47E-05	3.86E-05	3.95E-05	4.10E-05	0.000107737	9.02E-05	3.05E-05	4.24E-05	0	0	6.63E-05	6.57E-05	7.83E-05	7.18E-05	4.67E-05	4.73E-05	1.54E-05	0	4.14E-05	4.92E-05
1CMET2-PWY: folate transformations III (E. coli)|g__Bradyrhizobium.s__Bradyrhizobium_erythrophlei	0	0	0	4.56E-06	3.99E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Pseudomonas.s__Pseudomonas_aeruginosa_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.31E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Staphylococcus.s__Staphylococcus_aureus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.89E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|unclassified	0	6.18E-06	4.05E-05	6.34E-05	5.83E-05	1.43E-05	0	5.07E-05	8.68E-06	9.69E-05	3.65E-05	6.80E-05	4.79E-05	4.28E-05	3.89E-05	3.33E-05	3.81E-05	4.13E-05	3.52E-05	1.27E-05	1.22E-05	7.93E-06	3.23E-05	2.19E-05	1.50E-05	1.33E-05	1.58E-05	0	8.61E-06	2.16E-05	7.71E-06	2.35E-05	3.20E-05	1.95E-05	2.15E-05	1.29E-05	1.44E-05	3.55E-05	2.46E-05	0.000162442	0	0.000107092	2.41E-05	3.63E-05	3.13E-05	4.13E-05	3.86E-05	3.95E-05	4.10E-05	0.000107737	9.02E-05	2.74E-05	3.96E-05	0	0	6.63E-05	6.57E-05	7.83E-05	7.18E-05	4.59E-05	4.73E-05	1.54E-05	0	4.14E-05	4.92E-05
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.97E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.36E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.97E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.18E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4-HYDROXYMANDELATE-DEGRADATION-PWY: 4-hydroxymandelate degradation	0	0	1.27E-06	1.43E-06	1.55E-06	0	0	0	0	1.42E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4-HYDROXYMANDELATE-DEGRADATION-PWY: 4-hydroxymandelate degradation|unclassified	0	0	1.27E-06	1.43E-06	1.55E-06	0	0	0	0	1.42E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0	4.53E-06	4.48E-06	2.58E-06	1.16E-06	6.46E-06	0	0	2.43E-06	5.65E-06	3.59E-06	2.12E-06	4.61E-06	6.38E-06	2.99E-06	1.95E-06	2.51E-06	2.44E-06	8.60E-07	0	2.13E-06	2.30E-06	1.81E-06	2.17E-06	0	0	0	0	0	0	0	0	0	0	3.83E-06	0	0	0	0	5.41E-05	0	1.97E-06	1.49E-06	1.32E-06	2.29E-06	4.12E-06	3.63E-06	3.57E-06	1.67E-06	2.13E-06	2.04E-06	2.51E-06	5.58E-06	0	0	0	0	2.95E-07	0	3.53E-06	4.60E-06	1.13E-06	0	3.17E-06	3.31E-06
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast|unclassified	0	4.50E-06	4.48E-06	2.58E-06	1.16E-06	6.46E-06	0	0	2.43E-06	5.65E-06	3.59E-06	2.12E-06	4.38E-06	6.38E-06	2.99E-06	1.95E-06	2.51E-06	2.44E-06	8.60E-07	0	2.13E-06	2.30E-06	1.81E-06	2.17E-06	0	0	0	0	0	0	0	0	0	0	3.83E-06	0	0	0	0	0	0	1.97E-06	1.49E-06	1.32E-06	2.29E-06	4.12E-06	3.63E-06	3.57E-06	1.67E-06	2.13E-06	2.04E-06	2.51E-06	5.58E-06	0	0	0	0	2.95E-07	0	3.53E-06	4.60E-06	1.13E-06	0	3.17E-06	3.31E-06
ANAEROFRUCAT-PWY: homolactic fermentation	0	3.52E-05	4.33E-05	6.48E-05	6.56E-05	2.83E-05	0	4.27E-05	3.38E-05	8.87E-05	3.73E-05	5.91E-05	4.69E-05	6.55E-05	3.74E-05	2.28E-05	2.84E-05	3.02E-05	3.12E-05	2.08E-05	2.55E-05	0	1.95E-05	1.42E-05	1.60E-05	1.60E-05	2.48E-05	3.28E-05	1.65E-05	2.87E-05	1.71E-05	3.20E-05	5.86E-05	4.14E-05	2.84E-05	2.35E-05	3.02E-05	3.28E-05	1.75E-05	0.000307482	0	2.13E-06	3.54E-05	5.23E-05	3.30E-05	3.54E-05	2.91E-05	3.24E-05	2.70E-05	1.50E-05	3.49E-06	1.36E-05	2.81E-05	0	0	4.45E-05	3.45E-05	4.24E-05	3.89E-05	3.74E-05	4.34E-05	1.81E-05	0	4.53E-05	4.68E-05
ANAEROFRUCAT-PWY: homolactic fermentation|g__Staphylococcus.s__Staphylococcus_aureus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.07E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified	0	2.81E-05	4.18E-05	5.40E-05	5.54E-05	2.69E-05	0	4.27E-05	3.25E-05	8.87E-05	3.64E-05	5.91E-05	4.42E-05	6.46E-05	3.22E-05	2.22E-05	2.67E-05	2.64E-05	3.09E-05	2.08E-05	2.55E-05	0	1.95E-05	1.42E-05	1.60E-05	1.60E-05	2.48E-05	3.28E-05	1.65E-05	2.87E-05	1.71E-05	3.01E-05	5.78E-05	4.14E-05	2.84E-05	2.35E-05	3.02E-05	3.28E-05	1.75E-05	0.000169615	0	2.12E-06	3.35E-05	4.81E-05	3.18E-05	3.50E-05	2.91E-05	3.20E-05	2.62E-05	1.47E-05	3.48E-06	1.36E-05	2.75E-05	0	0	4.45E-05	3.45E-05	4.24E-05	3.89E-05	3.74E-05	4.34E-05	1.81E-05	0	4.53E-05	4.65E-05
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0	6.26E-05	8.65E-05	0.000109373	9.79E-05	7.87E-05	1.74E-05	6.29E-05	6.44E-05	0.000139072	6.78E-05	0.000127602	8.41E-05	0.000121488	6.32E-05	7.27E-05	6.15E-05	5.99E-05	7.21E-05	4.14E-05	9.19E-05	5.30E-05	2.95E-05	2.34E-05	3.50E-05	2.57E-05	4.50E-05	5.06E-05	4.04E-05	4.18E-05	4.00E-05	4.77E-05	9.19E-05	0.000106293	5.72E-05	3.70E-05	4.31E-05	5.44E-05	5.03E-05	0.000368452	0	6.18E-05	8.06E-05	8.19E-05	7.61E-05	8.56E-05	7.83E-05	7.55E-05	8.92E-05	7.07E-05	7.14E-05	6.15E-05	5.79E-05	0	0	7.53E-05	6.00E-05	7.04E-05	6.56E-05	6.88E-05	7.81E-05	3.52E-05	0	7.65E-05	8.40E-05
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Listeria.s__Listeria_monocytogenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.17E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Staphylococcus.s__Staphylococcus_aureus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.50E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	0	6.26E-05	8.15E-05	0.000105816	9.42E-05	7.81E-05	1.74E-05	6.29E-05	6.44E-05	0.000139063	6.76E-05	0.000127602	8.33E-05	0.000121437	5.98E-05	6.68E-05	5.59E-05	5.33E-05	7.21E-05	4.14E-05	9.19E-05	5.30E-05	2.95E-05	2.34E-05	3.50E-05	2.57E-05	4.50E-05	5.06E-05	4.04E-05	4.18E-05	4.00E-05	4.64E-05	9.07E-05	0.000106293	5.72E-05	3.70E-05	4.31E-05	5.44E-05	5.03E-05	0.000230271	0	6.18E-05	8.06E-05	8.19E-05	7.61E-05	8.55E-05	7.83E-05	7.55E-05	8.92E-05	7.07E-05	7.14E-05	5.98E-05	5.78E-05	0	0	7.53E-05	6.00E-05	7.04E-05	6.56E-05	6.88E-05	7.81E-05	3.52E-05	0	7.65E-05	8.40E-05
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0	2.12E-05	2.51E-05	2.53E-05	2.62E-05	2.46E-05	0	1.80E-05	2.16E-05	3.75E-05	2.43E-05	3.23E-05	2.18E-05	3.64E-05	2.41E-05	1.83E-05	1.72E-05	1.54E-05	2.13E-05	4.69E-06	6.36E-06	0	1.13E-05	0	8.63E-06	0	6.94E-06	0	0	8.90E-06	0	3.50E-06	1.03E-05	4.41E-06	6.05E-06	6.31E-06	0	1.09E-05	7.45E-06	0.000295024	0	2.70E-05	7.88E-06	7.48E-06	1.30E-05	1.85E-05	1.72E-05	1.09E-05	1.56E-05	2.48E-05	2.80E-05	1.03E-05	1.96E-05	0	0	1.78E-05	1.11E-05	1.89E-05	2.35E-05	2.36E-05	2.18E-05	0	0	2.00E-05	1.63E-05
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|unclassified	0	2.12E-05	1.59E-05	2.40E-05	1.85E-05	2.08E-05	0	1.80E-05	2.16E-05	3.75E-05	2.42E-05	3.23E-05	2.17E-05	3.64E-05	1.69E-05	1.72E-05	1.51E-05	3.54E-06	2.13E-05	4.69E-06	6.36E-06	0	1.13E-05	0	8.60E-06	0	6.94E-06	0	0	8.90E-06	0	0	1.03E-05	4.41E-06	6.05E-06	6.31E-06	0	1.09E-05	7.45E-06	0.000216109	0	2.70E-05	7.88E-06	7.48E-06	1.30E-05	1.85E-05	1.72E-05	1.09E-05	1.56E-05	2.48E-05	2.80E-05	1.01E-05	1.92E-05	0	0	1.78E-05	1.11E-05	1.89E-05	2.35E-05	2.36E-05	2.18E-05	0	0	2.00E-05	1.63E-05
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"	0	0	0	1.40E-06	0	0	0	0	0	1.85E-06	1.59E-06	0	0	1.44E-06	0	4.10E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000103139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|unclassified"	0	0	0	1.40E-06	0	0	0	0	0	1.85E-06	1.58E-06	0	0	1.44E-06	0	4.10E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.25E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0	1.58E-05	1.39E-05	2.64E-05	2.48E-05	1.63E-05	5.23E-06	1.27E-05	1.22E-05	3.50E-05	1.62E-05	2.41E-05	2.02E-05	3.19E-05	1.43E-05	5.89E-06	7.03E-06	1.05E-05	7.64E-06	2.01E-05	1.97E-05	6.06E-06	5.30E-06	1.10E-05	1.07E-05	9.25E-06	1.76E-05	1.91E-05	1.08E-05	2.71E-05	2.42E-05	2.84E-05	4.66E-05	2.37E-05	3.06E-05	2.59E-05	2.67E-05	3.30E-05	1.92E-05	0.000198355	0	0	4.63E-06	1.44E-05	1.02E-05	4.87E-06	3.66E-06	4.09E-06	2.40E-06	0	0	5.88E-06	7.01E-06	0	0	5.91E-05	2.94E-05	4.56E-05	2.93E-05	1.78E-05	2.03E-05	1.80E-05	0	1.55E-05	1.83E-05
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|unclassified	0	1.58E-05	1.38E-05	2.59E-05	2.45E-05	1.62E-05	5.23E-06	1.27E-05	1.22E-05	3.50E-05	1.62E-05	2.41E-05	2.01E-05	3.19E-05	1.41E-05	5.88E-06	7.02E-06	1.05E-05	7.64E-06	2.01E-05	1.97E-05	6.06E-06	5.30E-06	1.10E-05	1.07E-05	9.25E-06	1.76E-05	1.91E-05	1.08E-05	2.71E-05	2.42E-05	2.79E-05	4.64E-05	2.37E-05	3.06E-05	2.59E-05	2.67E-05	3.30E-05	1.92E-05	0.000143024	0	0	4.63E-06	1.44E-05	1.02E-05	4.87E-06	3.66E-06	4.09E-06	2.40E-06	0	0	5.88E-06	6.99E-06	0	0	5.91E-05	2.94E-05	4.56E-05	2.93E-05	1.78E-05	2.03E-05	1.80E-05	0	1.55E-05	1.83E-05
